Membership No  Date Joined  Active  
    82901      2020-10-1    no    
    29364      2015-4-4     no    
    28588      2017-1-6     no    
    54379      2016-12-25   no    
    26086      2017-9-22    no    
    12837      2016-9-23    no    
    39975      2016-3-24    no    
    46450      2017-8-5     no    
    15947      2017-1-6     no    
    95200      2020-2-9     no    
    29542      2015-1-25    no    
    91893      2015-6-12    no    
    27844      2018-7-20    no    
    53297      2015-12-7    no    
    98493      2015-1-10    no    
