Membership No  Date Joined  Active  
    94807      2020-9-21    yes   
    60675      2018-8-20    yes   
    77896      2015-3-5     yes   
    49464      2019-11-23   yes   
    96807      2016-5-16    no    
    15907      2015-4-12    no    
    12611      2016-5-4     no    
    29748      2017-11-18   no    
    94682      2016-5-8     yes   
    31579      2019-12-24   no    
    26574      2015-2-5     no    
    20660      2015-3-19    no    
    59631      2020-2-10    no    
    95074      2020-12-14   no    
    97040      2020-7-25    no    
    68561      2020-12-18   no    
    78893      2018-11-20   no    
    96344      2020-4-12    yes   
    18084      2020-4-1     yes   
    14775      2019-4-15    no    
